DayofMonth str,DayOfWeek str,FlightDate int,UniqueCarrier str,AirlineID int,Carrier str,TailNum str,FlightNum int,OriginAirportID int,OriginAirportSeqID int,OriginCityMarketID int,Origin str,OriginCityName str,OriginState str,OriginStateFips int,OriginStateName str,OriginWac int
9,7,20121209,US,20355,US,N672AW,675,11618,1161802,31703,EWR,NewarkNJ,NJ,34,NewJersey,21
15,6,20121215,AA,19805,AA,N455AA,429,10397,1039705,30397,ATL,AtlantaGA,GA,13,Georgia,34
31,1,20121231,WN,19393,WN,N7738A,163,14635,1463502,31714,RSW,FortMyersFL,FL,12,Florida,33
18,2,20121218,AS,19930,AS,N566AS,136,10299,1029904,30299,ANC,AnchorageAK,AK,2,Alaska,1
17,1,20121217,EV,20366,EV,N25134,4345,12266,1226603,31453,IAH,HoustonTX,TX,48,Texas,74
10,1,20121210,WN,19393,WN,N632SW,32,14869,1486903,34614,SLC,SaltLakeCityUT,UT,49,Utah,87
15,6,20121215,DL,19790,DL,N907DL,1277,10397,1039705,30397,ATL,AtlantaGA,GA,13,Georgia,34
23,7,20121223,US,20355,US,N104UW,1965,13487,1348702,31650,MSP,MinneapolisMN,MN,27,Minnesota,63
4,2,20121204,UA,19977,UA,N73251,1184,11278,1127802,30852,DCA,WashingtonDC,VA,51,Virginia,38
8,6,20121208,DL,19790,DL,N502US,1672,15304,1530402,33195,TPA,TampaFL,FL,12,Florida,33
25,2,20121225,OO,20304,OO,N270YV,7430,14113,1411302,34113,PIH,PocatelloID,ID,16,Idaho,83
7,5,20121207,DL,19790,DL,N3744F,1740,12889,1288903,32211,LAS,LasVegasNV,NV,32,Nevada,85
14,5,20121214,AA,19805,AA,N537AA,2460,12892,1289203,32575,LAX,LosAngelesCA,CA,6,California,91
14,5,20121214,EV,20366,EV,N842AS,5398,10397,1039705,30397,ATL,AtlantaGA,GA,13,Georgia,34
29,6,20121229,WN,19393,WN,N714CB,3092,11292,1129202,30325,DEN,DenverCO,CO,8,Colorado,82
9,7,20121209,WN,19393,WN,N396SW,1338,14570,1457002,34570,RNO,RenoNV,NV,32,Nevada,85
18,2,20121218,WN,19393,WN,N741SA,3998,13198,1319801,33198,MCI,KansasCityMO,MO,29,Missouri,64
24,1,20121224,WN,19393,WN,N791SW,1074,10792,1079204,30792,BUF,BuffaloNY,NY,36,NewYork,22
20,4,20121220,DL,19790,DL,N926DL,1793,11433,1143302,31295,DTW,DetroitMI,MI,26,Michigan,43
5,3,20121205,AA,19805,AA,N537AA,683,11057,1105703,31057,CLT,CharlotteNC,NC,37,NorthCarolina,36
6,4,20121206,OO,20304,OO,N986CA,6533,12280,1228002,32280,IDA,IdahoFallsID,ID,16,Idaho,83
18,2,20121218,MQ,20398,MQ,N818MQ,4377,13930,1393002,30977,ORD,ChicagoIL,IL,17,Illinois,41
12,3,20121212,AA,19805,AA,N383AA,254,13830,1383002,33830,OGG,KahuluiHI,HI,15,Hawaii,2
23,7,20121223,OO,20304,OO,N471CA,5514,13476,1347602,34922,MRY,MontereyCA,CA,6,California,91
23,7,20121223,VX,21171,VX,N625VA,202,14771,1477101,32457,SFO,SanFranciscoCA,CA,6,California,91
17,1,20121217,WN,19393,WN,N694SW,1843,14893,1489302,33192,SMF,SacramentoCA,CA,6,California,91
30,7,20121230,FL,20437,FL,N279AT,641,12889,1288903,32211,LAS,LasVegasNV,NV,32,Nevada,85
28,5,20121228,DL,19790,DL,N908DA,931,13487,1348702,31650,MSP,MinneapolisMN,MN,27,Minnesota,63
20,4,20121220,EV,20366,EV,N837AS,5344,15323,1532302,35323,TRI,Bristol/JohnsonCity/KingsportTN,TN,47,Tennessee,54
26,3,20121226,WN,19393,WN,N462WN,4679,14771,1477101,32457,SFO,SanFranciscoCA,CA,6,California,91
7,5,20121207,OO,20304,OO,N549CA,4548,13487,1348702,31650,MSP,MinneapolisMN,MN,27,Minnesota,63
17,1,20121217,WN,19393,WN,N8309C,3347,11292,1129202,30325,DEN,DenverCO,CO,8,Colorado,82
9,7,20121209,WN,19393,WN,N222WN,2757,12391,1239102,31703,ISP,IslipNY,NY,36,NewYork,22
16,7,20121216,UA,19977,UA,N24715,1689,10529,1052904,30529,BDL,HartfordCT,CT,9,Connecticut,11
25,2,20121225,EV,20366,EV,N12921,5988,14321,1432103,34321,PWM,PortlandME,ME,23,Maine,12
7,5,20121207,US,20355,US,N457UW,1924,11057,1105703,31057,CLT,CharlotteNC,NC,37,NorthCarolina,36
8,6,20121208,WN,19393,WN,N215WN,2923,10800,1080003,32575,BUR,BurbankCA,CA,6,California,91
25,2,20121225,WN,19393,WN,N424WN,1649,10257,1025702,30257,ALB,AlbanyNY,NY,36,NewYork,22
26,3,20121226,OO,20304,OO,N713SK,5643,13264,1326403,33264,MFR,MedfordOR,OR,41,Oregon,92
17,1,20121217,DL,19790,DL,N584NW,1753,13487,1348702,31650,MSP,MinneapolisMN,MN,27,Minnesota,63
2,7,20121202,FL,20437,FL,N942AT,48,10397,1039705,30397,ATL,AtlantaGA,GA,13,Georgia,34
26,3,20121226,AA,19805,AA,N5EDAA,2430,12892,1289203,32575,LAX,LosAngelesCA,CA,6,California,91
20,4,20121220,FL,20437,FL,N919AT,209,10821,1082103,30852,BWI,BaltimoreMD,MD,24,Maryland,35
18,2,20121218,US,20355,US,N543UW,980,11057,1105703,31057,CLT,CharlotteNC,NC,37,NorthCarolina,36
14,5,20121214,DL,19790,DL,N358NB,2068,12478,1247802,31703,JFK,NewYorkNY,NY,36,NewYork,22
16,7,20121216,MQ,20398,MQ,N818MQ,4281,13930,1393002,30977,ORD,ChicagoIL,IL,17,Illinois,41
16,7,20121216,B6,20409,B6,N639JB,1441,14771,1477101,32457,SFO,SanFranciscoCA,CA,6,California,91
7,5,20121207,UA,19977,UA,N474UA,549,13930,1393002,30977,ORD,ChicagoIL,IL,17,Illinois,41
3,1,20121203,AA,19805,AA,N5EHAA,648,14843,1484303,34819,SJU,SanJuanPR,PR,72,PuertoRico,3
28,5,20121228,OO,20304,OO,N578SW,6359,14771,1477101,32457,SFO,SanFranciscoCA,CA,6,California,91
17,1,20121217,EV,20366,EV,N11137,4097,12266,1226603,31453,IAH,HoustonTX,TX,48,Texas,74
14,5,20121214,FL,20437,FL,N309AT,429,10397,1039705,30397,ATL,AtlantaGA,GA,13,Georgia,34
